# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index,rsi_14,macd,macd_signal,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,atr_14,obv,vwap_20,close_AAPL,close_AMZN,close_GOOGL,close_MSFT,close_XLK,close_IXIC,rel_AAPL_MSFT,rel_AAPL_IXIC,vix,gold,oil,tnote_10y,unemployment,dow,month,quarter,year,is_month_end,is_quarter_end,days_to_earnings,daily_return,close_lag_1,close_lag_2,close_lag_7,volume_lag_1,return_lag_1,return_lag_7,rolling_max_30d,rolling_min_30d
2015-04-14,28.11016082763672,28.33050127496176,28.02335999390115,28.26595676048305,102098400,25.0,77.0,0.12,236.222,107.0547,0.0713758869781816,48.888810759921405,0.0918517697819112,0.0830132099002459,0.0088385598816652,28.04138984680176,28.68199552908514,27.40078416451837,0.4791537220996059,3581071200.0,28.05562161832271,28.11016082763672,19.25550079345703,26.80413055419922,35.75534439086914,18.45552062988281,4977.2900390625,0.7861806761065689,0.0056476839016862,13.670000076293944,1192.800048828125,53.290000915527344,1.9,5.4,1,4,2,2015,0,0,,-0.4335967819485753,28.23257637023925,28.2882080078125,27.892053604125977,145460400.0,-0.1966601686394731,0.8612138891982868,28.79121780395508,27.20654487609864
2015-04-15,28.216997146606445,28.2948951276814,28.045621588241563,28.134648580062343,115881600,25.0,77.0,0.12,236.222,107.1855,0.0723803857194864,61.54892743990974,0.096601690344432,0.0857309059890831,0.0108707843553488,28.038496494293213,28.675172816701643,27.401820171884783,0.4422711399264045,3696952800.0,28.05172417207484,28.21698760986328,19.17250061035156,26.86669921875,36.27898406982422,18.618770599365234,5011.02001953125,0.7777777777777778,0.0056309868050582,12.84000015258789,1201.5,56.38999938964844,1.91,5.4,2,4,2,2015,0,0,,0.3800629943913058,28.11016082763672,28.23257637023925,28.34385681152344,102098400.0,-0.4335967819485753,1.6198276893123031,28.60870933532715,27.20654487609864
2015-04-16,28.08122634887696,28.288213346207304,28.067872896806715,28.10570880970461,113476000,25.0,77.0,0.12,236.222,106.2761,0.0653965083850635,56.6688678379268,0.0883915452073687,0.0862630338327402,0.0021285113746284,28.01290111541748,28.59446800140937,27.43133422942559,0.4217631968148222,3583476800.0,28.01889985423898,28.081233978271484,19.302000045776367,26.98984909057617,36.193145751953125,18.552583694458008,5007.7900390625,0.7758716020631091,0.0056075102508747,12.600000381469728,1198.0,56.709999084472656,1.9,5.4,3,4,2,2015,0,0,,-0.4811667131837671,28.216997146606445,28.11016082763672,28.045616149902344,115881600.0,0.3800629943913058,-1.0522232863519276,28.5931339263916,27.20654487609864
2015-04-17,27.765182495117188,28.07454992374797,27.700637979338687,27.94323644885431,207828000,25.0,77.0,0.12,236.222,106.329,0.0658027620808969,55.033502619818606,0.0557403087435588,0.0801584888149039,-0.0244181800713451,27.9822979927063,28.54731914122954,27.41727684418306,0.4204914554423705,3375648800.0,27.97987324796096,27.765186309814453,18.777999877929688,26.45453834533692,35.729576110839844,18.296688079833984,4931.81005859375,0.7770925191970272,0.0056298166352601,13.890000343322754,1202.9000244140625,55.7400016784668,1.87,5.4,4,4,2,2015,0,0,,-1.1254631469199028,28.08122634887696,28.216997146606445,27.954364776611328,113476000.0,-0.4811667131837671,-0.3253676895643265,28.5931339263916,27.20654487609864
2015-04-20,28.39950180053711,28.51523570161574,27.858664818817697,27.947691810904374,188217200,25.0,77.0,0.12,236.222,106.4902,0.0670407223033612,54.20371879259615,0.080124608712893,0.0801517127945018,-2.7104081608747554e-05,28.00121612548828,28.59625256559821,27.40617968537835,0.4239893104967905,3563866000.0,27.98152296637754,28.39949989318848,19.475500106811523,27.040002822875977,36.83699798583984,18.60993766784668,4994.60009765625,0.770950442381468,0.0056860407916371,13.300000190734863,1193.5,56.380001068115234,1.9,5.4,0,4,2,2015,0,0,,2.284585399470984,27.765182495117188,28.08122634887696,28.16803359985352,207828000.0,-1.1254631469199028,0.7643486981359082,28.5931339263916,27.20654487609864
2015-04-21,28.245925903320312,28.53303530151165,28.19250870073043,28.51078068083827,129740400,25.0,77.0,0.12,236.222,106.5582,0.0675629387743759,59.26741005950132,0.0860649475580359,0.0813343597472086,0.0047305878108273,27.9978777885437,28.586268474908504,27.409487102178897,0.4144507597059598,3434125600.0,27.979897627869484,28.24592971801757,19.55900001525879,26.96005249023437,36.60520553588867,18.601123809814453,5014.10009765625,0.7716369654125983,0.0056332999277817,13.25,1202.9000244140625,55.2599983215332,1.92,5.4,1,4,2,2015,0,0,,-0.5407696877763324,28.39950180053711,27.765182495117188,28.2882080078125,188217200.0,2.284585399470984,0.4266339981914946,28.5931339263916,27.20654487609864
2015-04-22,28.62651824951172,28.682159905817624,28.11461603032653,28.263735261694706,150618000,25.0,77.0,0.12,236.222,106.5815,0.0677418747122383,64.65464372893837,0.1200989050667011,0.0890872688111071,0.031011636255594,28.019355297088623,28.666745737672027,27.37196485650522,0.4228763657089602,3584743600.0,27.99094301967429,28.62651634216309,19.489999771118164,27.270910263061523,36.90568923950195,18.79084205627441,5035.169921875,0.7756667584878142,0.0056853128665622,12.710000038146973,1186.9000244140625,56.15999984741211,1.99,5.4,2,4,2,2015,0,0,,1.3474238638665703,28.245925903320312,28.39950180053711,28.23257637023925,129740400.0,-0.5407696877763324,-0.1966601686394731,28.62651824951172,27.20654487609864
2015-04-23,28.860212326049805,29.027137285949443,28.519685679542302,28.555297152717507,183083600,25.0,77.0,0.12,236.222,106.1658,0.0645494425504618,64.60702158273378,0.1640373006156537,0.1040772751720164,0.0599600254436372,28.089352512359618,28.78327546799445,27.395429556724785,0.4373432493302641,3767827200.0,28.05805019089556,28.86021423339844,19.499500274658203,27.682071685791016,37.20613479614258,18.8658447265625,5056.06005859375,0.7756842894734279,0.0057080441883487,12.479999542236328,1194.4000244140625,57.7400016784668,1.96,5.4,3,4,2,2015,0,0,,0.8163552217604009,28.62651824951172,28.245925903320312,28.11016082763672,150618000.0,1.3474238638665703,-0.4335967819485753,28.860212326049805,27.43133544921875
2015-04-24,28.9959716796875,29.07387133550841,28.762276108321,29.042712152399304,178103600,25.0,77.0,0.12,236.222,105.905,0.0625465887910408,60.875924575741664,0.2074224045340429,0.1247463010444217,0.0826761034896211,28.15656719207764,28.92807374582977,27.385060638325506,0.4090456318485511,3945930800.0,28.1397791454804,28.995973587036133,22.2549991607666,28.48652458190918,41.09499740600586,19.02908515930176,5092.080078125,0.70558402280854,0.0056943278860832,12.289999961853027,1175.199951171875,57.150001525878906,1.93,5.4,4,4,2,2015,0,0,,0.4704031699557465,28.860212326049805,28.62651824951172,28.216997146606445,183083600.0,0.8163552217604009,0.3800629943913058,28.9959716796875,27.43133544921875
2015-04-27,29.52345466613769,29.63028906678732,29.189604805324542,29.447782846083182,387816800,25.0,77.0,0.12,236.222,105.6891,0.0608885514955691,72.89648703805159,0.2811282096053418,0.1560226827566057,0.125105526848736,28.261173152923583,29.173184044686096,27.34916226116107,0.4203332549929049,4333747600.0,28.324668554841907,29.523462295532227,21.92799949645996,28.112110137939453,41.23237228393555,19.08202743530273,5060.25,0.7160262837225787,0.0058343880827097,13.119999885559082,1203.300048828125,56.9900016784668,1.94,5.4,0,4,2,2015,0,0,,1.8191595449091655,28.9959716796875,28.860212326049805,28.08122634887696,178103600.0,0.4704031699557465,-0.4811667131837671,29.52345466613769,27.43133544921875
