# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index
2015-04-14,28.11016082763672,28.33050127496176,28.02335999390115,28.26595676048305,102098400,25.0,77.0,0.12,236.222,107.0547,0.07137588697818165
2015-04-15,28.216997146606445,28.294895127681396,28.045621588241563,28.134648580062343,115881600,25.0,77.0,0.12,236.222,107.1855,0.07238038571948646
2015-04-16,28.081226348876957,28.288213346207304,28.067872896806715,28.10570880970461,113476000,25.0,77.0,0.12,236.222,106.2761,0.0653965083850635
2015-04-17,27.765182495117188,28.07454992374797,27.700637979338687,27.94323644885431,207828000,25.0,77.0,0.12,236.222,106.329,0.06580276208089697
2015-04-20,28.39950180053711,28.51523570161574,27.858664818817697,27.947691810904374,188217200,25.0,77.0,0.12,236.222,106.4902,0.06704072230336122
2015-04-21,28.245925903320312,28.53303530151165,28.19250870073043,28.51078068083827,129740400,25.0,77.0,0.12,236.222,106.5582,0.06756293877437591
2015-04-22,28.62651824951172,28.682159905817624,28.11461603032653,28.263735261694706,150618000,25.0,77.0,0.12,236.222,106.5815,0.06774187471223836
2015-04-23,28.860212326049805,29.027137285949443,28.519685679542302,28.555297152717507,183083600,25.0,77.0,0.12,236.222,106.1658,0.0645494425504618
2015-04-24,28.9959716796875,29.073871335508414,28.762276108321,29.042712152399304,178103600,25.0,77.0,0.12,236.222,105.905,0.0625465887910408
2015-04-27,29.52345466613769,29.630289066787316,29.189604805324542,29.447782846083182,387816800,25.0,77.0,0.12,236.222,105.6891,0.060888551495569154
2015-04-28,29.058292388916016,29.944106433953536,28.83795364634113,29.926304095966827,475696000,25.0,77.0,0.12,236.222,105.1234,0.05654417123596622
2015-04-29,28.630970001220703,29.287540854217852,28.55529816511329,28.969272216185253,253544400,25.0,77.0,0.12,236.222,104.5634,0.05224356500408056
2015-04-30,27.854211807250977,28.630968807003697,27.72734890644295,28.630968807003697,332781600,25.0,77.0,0.12,236.222,105.312,0.057992553977633365
2015-05-01,28.69996452331543,28.96259489680037,27.88759773139169,28.065650005792723,234050400,26.0,72.0,0.12,237.001,105.6382,0.05809606385559796
2015-05-04,28.644323348999023,29.06052523824225,28.5463934927065,28.822377324431148,203953200,26.0,72.0,0.12,237.001,105.6679,0.05832414957896759
2015-05-05,27.998876571655277,28.5886766529222,27.99442428912783,28.52190599939661,197085600,26.0,72.0,0.12,237.001,105.2396,0.05503495377697365
2015-05-06,27.823047637939453,28.210312997720948,27.455812454572506,28.168024805670445,288564000,26.0,72.0,0.12,237.001,104.6935,0.05084109473548659
2015-05-07,27.99514579772949,28.17841268755224,27.718009170082315,27.885631387791214,175763600,26.0,72.0,0.12,237.001,105.1941,0.05468552952063299
2015-05-08,28.52259063720703,28.52259063720703,28.18511083885181,28.312503626885885,222201600,26.0,72.0,0.12,237.001,104.8424,0.05198459521392906
2015-05-11,28.232046127319336,28.50918099885428,28.07783316974487,28.471187045728733,168143200,26.0,72.0,0.12,237.001,105.3075,0.055556402282589845
2015-05-12,28.13147735595703,28.35720737088283,27.89680558007981,28.07113240552401,192640000,26.0,72.0,0.12,237.001,104.8924,0.052368577913204484
2015-05-13,28.16276359558105,28.426489244926348,28.13147425626391,28.1940529348982,138776800,26.0,72.0,0.12,237.001,104.3608,0.04828607385450745
2015-05-14,28.81984519958496,28.81984519958496,28.41978835091865,28.475662422034667,180814000,26.0,72.0,0.12,237.001,104.2359,0.04732688507171723
2015-05-15,28.779619216918945,28.940536824125893,28.654461835820847,28.84666878830232,152832000,26.0,72.0,0.12,237.001,104.0202,0.045670383707042794
2015-05-18,29.096981048583984,29.21543380338683,28.68798244962446,28.69245333007435,203531600,26.0,72.0,0.12,237.001,104.6068,0.050175268734942935
2015-05-19,29.07015609741211,29.25118749697334,28.974050945746164,29.208722667884796,178532800,26.0,72.0,0.12,237.001,105.3448,0.05584285337624939
2015-05-20,29.067928314208984,29.27354450155405,28.907010704933214,29.054519081816487,145819600,26.0,72.0,0.12,237.001,105.5605,0.057499354740923825
2015-05-21,29.365175247192383,29.41881558054949,29.01652160607739,29.070161939434502,158921600,26.0,72.0,0.12,237.001,105.3808,0.0561193209197276
2015-05-22,29.6221981048584,29.71830328721648,29.36741245924062,29.41211444747204,182384000,26.0,72.0,0.12,237.001,105.8487,0.05971263101954771
2015-05-26,28.969593048095703,29.70489787961476,28.85784488369443,29.635614563331306,282790400,26.0,72.0,0.12,237.001,106.7294,0.06647610228458645
2015-05-27,29.51045036315918,29.559619822667745,29.0656949025357,29.13050732991539,183332800,26.0,72.0,0.12,237.001,106.908,0.06784768848639855
2015-05-28,29.45233917236328,29.49033313029952,29.300363340618333,29.470219283794904,122933200,26.0,72.0,0.12,237.001,106.92,0.06793984433422473
2015-05-29,29.117094039916992,29.37858426889238,29.03216436527658,29.329414816235555,203538000,26.0,72.0,0.12,237.001,106.7388,0.06654829103205029
2015-06-01,29.175207138061523,29.365180367831247,29.065696127499542,29.1170993245038,128451200,28.0,73.0,0.13,237.657,107.2238,0.06637435628957744
2015-06-02,29.045581817626957,29.20202855186745,28.90254431628092,29.023230822614156,134670400,28.0,73.0,0.13,237.657,106.4507,0.06043721579337957
2015-06-03,29.081336975097656,29.264605574947947,29.03216751710284,29.20202688482415,123934000,28.0,73.0,0.13,237.657,106.1443,0.05808416981221942
2015-06-04,28.91147994995117,29.184145694113607,28.81090730241516,28.960649406130152,153800400,28.0,73.0,0.13,237.657,106.4725,0.06060463225026369
2015-06-05,28.75279426574707,28.98523230030165,28.687981846856992,28.942767462626342,142507200,28.0,73.0,0.13,237.657,107.1336,0.06568165150008443
2015-06-08,28.562824249267575,28.87795481131728,28.34603259256239,28.808668102346388,210699200,28.0,73.0,0.13,237.657,106.7693,0.06288395355316312
