# Author: Diyar Erol
date,equity,position
2017-04-17,51027.4768568714,0
2017-04-18,50693.778493642545,-1
2017-04-19,51685.246571905176,1
2017-04-20,51351.0061511762,1
2017-04-21,51345.750129302694,-1
2017-04-24,51141.678565698916,1
2017-04-25,51090.53688713322,0
2017-04-26,50992.166502710716,-1
2017-04-27,51103.30195366633,1
2017-04-28,51052.19865171266,0
2017-05-01,51052.19865171266,0
2017-05-02,51781.469654496825,1
2017-05-03,51729.68818484233,0
2017-05-04,51729.68818484233,0
2017-05-05,51729.68818484233,0
